web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576035816-12262","https://losestudiantes.co/","Sandra Carolina Navarrete RodriguezIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/sandra-carolina-navarrete-rodriguez","Carolina explica bien y es bastante comprensiva con los estudiantes, sin embargo, es bastante dura calificando.","3.8"
"1576035808-12237","https://losestudiantes.co/","Roberto Javier Rueda EstebanIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/roberto-javier-rueda-esteban","Es un buen profesor. Domina los temas a la perfección pero a veces se desvía de la temática de la clase. Muchas veces, sus clases no están relacionadas con lo descrito en el programa y es dificil mantenerle el ritmo a su monólogo.
De todas maneras, se aprende mucho con él y lo motiva a uno a revisar muchos temas por su cuenta. 
Pros: -Dominio del temaCons: -Preguntas en parciales a veces requieren de terminología médica","3.7"
"1576035783-12207","https://losestudiantes.co/","Jose Ricardo Arciniegas PolancoIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/jose-ricardo-arciniegas-polanco","Jose es de los mejores profesores de laboratorio de señales. Con los proyectos finales fue excesivamente paciente, se espero hasta muy tarde en la noche varios días para ayudar, siempre quiso que nos funcionaran las cosas y se preocupo desde el primer hasta el ultimo momento. Es justo con las calificaciones.","5"
"1576035776-12190","https://losestudiantes.co/","Juan Manuel CordovezIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/juan-manuel-cordovez","Es muy abierto a responder preguntas en clase pero pareciera que la sesión no la preparara, se enreda explicando y solo lee diapositivas. Es muy inteligente pero le falta pedagogía. Además que Fisiología Cuantitativa se volvió más que todo medicina y el programa no va de acuerdo a los objetivos.","3"
"1576035779-12199","https://losestudiantes.co/","Paola Calvachi PrietoIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/paola-calvachi-prieto","Explica muy bien, sabe mucho, es un amor y es linda ♥","5"
"1576035773-12166","https://losestudiantes.co/","Mario ValderramaIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/mario-valderrama","MExcelente profesor. Cumplido con horarios de clase y atención, se preocupa porque todos sus alumnos entiendan bien el tema y es bastante comprensivo. Fácilmente el mejor del departamento.Pros: Comprometido, puntual, atento.Cons: A veces se enreda en explicaciones, pero se corrije rápidamente","5"
"1576035808-12248","https://losestudiantes.co/","Roberto Javier Rueda EstebanIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/roberto-javier-rueda-esteban","Excelente profesor, con una gran metodología de enseñanza y de muy fácil entendimiento.Pros: Clases entretenidas.
Metodología de enseñanza adecuada.
Profesor bastante amable.
Bastante lograble.Cons: Parciales duros pero logrables con un poco de dedicación","4.5"
"1576035776-12191","https://losestudiantes.co/","Juan Manuel CordovezIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/juan-manuel-cordovez","Es un profesor querido, siempre atento a preguntas y que intenta hacer la clase simple pero interesante (a veces no lo logra). Se fija en las preguntas mal formuladas de los parciales y las elimina. Si uno se aburre, puede contar la cantidad de veces que dice ""cierto"" en una clase. Puede pasar de 400 veces en 80 minutosPros: Siempre abierto
Ayuda en cualquier momento
Elimina preguntas mal hechas de los parciales
Trae invitados importantesCons: desordenado
a veces aburrido
Quizes semanales","4"
"1576035770-12165","https://losestudiantes.co/","Pablo Arbelaez EscalanteIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/pablo-arbelaez-escalante","Excelente asesor de tesis.","5"
"1576035808-12236","https://losestudiantes.co/","Roberto Javier Rueda EstebanIngeniería Biomédica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-biomedica/profesores/roberto-javier-rueda-esteban","Tiene muy buen manejo de los temas, es divertido y hace las clases muy amenas. Sin embargo, tiende a desviarse mucho del tema y a hablar de muchas cosas simultáneamente, por lo cual es recomendable grabar las clases. Cons: Hace los parciales muy duros con conceptos y terminología que muchas veces no se ha visto.","4"
